id,trigger,conditions,script,text,options,notes
#RULESET_NAME duskrules,,,,,,
#notes name of thingys,what causes this id to activate,conditions to allow the trigger to pass,What happens when this id is selected,Text blocks go here,Buttons for player to click go here,
relLevelCooperativeDusk,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == contractor_duskgroup",FireAll RelLevelMoreDescription,"You are treated as a critical part of the Dusk Research Group's operations. A dedicated port dock, full laboratory access, and exotic military equipment is all yours. Science teams often try to hire your services or invite you to sit in during meetings and give your valuable insights. You even have a personal comm line to the Director, should it be needed.",,
relLevelFriendlyDusk,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == contractor_duskgroup",FireAll RelLevelMoreDescription,"Administrators of the DRG have given you their trust and offer wide access to the reseach group's labs. Scientists often try to stop you to ask for information about happenings in fringe space, and special military hardware is also available for you to purchase should you desire.",,
relLevelWelcomingDusk,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == contractor_duskgroup",FireAll RelLevelMoreDescription,"The Dusk Research Group considers you as a serious partner, and agents of all walks treat you with respect. More over, you’ve been granted cursory access to the research wing of DRG's facilities, and are permitted to purchase some special equipment.",,
relLevelFavorableDusk,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == contractor_duskgroup",FireAll RelLevelMoreDescription,"You possess upgraded status as a 'DRG Independent Associate' at this time. You are permitted to use priority queues and Acquisitions Agents always treat you with smiles and respect. Pragmatically you have no special access however, and more private dealings remain off limits to you.",,
relLevelNeutralDusk,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == contractor_duskgroup",FireAll RelLevelMoreDescription,You are offered the same polite service as other potential business partners of the Dusk Research Group. What the DRG administration thinks of you personally is an unknown quantity however.,,
relLevelSuspiciousDusk,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == contractor_duskgroup",FireAll RelLevelMoreDescription,"Despite being treated in a formal manner, the Dusk Research Group obviously considers you to be of low regard. Acquisitions Agents no longer give their full range of services, and Relations personnel make you jump through bureaucratic hoops far more often than others.",,
relLevelInhospitableDusk,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == contractor_duskgroup",FireAll RelLevelMoreDescription,"Your status as a potential business partner has been declared null and void by the Dusk Research Group, and port agents will no longer offer to trade with you. Security patrols strictly follow protocol and will harass you at the slightest infraction, although will not engage in combat unless necessary.",,
relLevelHostileDusk,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == contractor_duskgroup",FireAll RelLevelMoreDescription,"You are considered as one of the many adversarial elements opposing the Dusk Research Group. Acquisitions Agents are prohibited from conducting business with you, and Relations and Enforcer fleets will pursue and attack you when able.",,
relLevelVengefulDusk,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == contractor_duskgroup",FireAll RelLevelMoreDescription,The Dusk Research Group administration considers you an imminent threat to their operations. Significant resources have been pulled from other projects and allocated to aid in your destruction. Your name and face appear in security briefings frequently.,,
relLevelDuskBS,RelLevelMoreDescription,"$global.duskBlacksitePlayerHasMet
$faction.id == contractor_duskgroup",,"Internal Affairs has flagged your $shipOrFleet as having seen a blacksite, and assigned a dedicated officer to monitor your actions.",,
relLevelCooperativeSeparatists,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == contractor_separatists",FireAll RelLevelMoreDescription,"The Persean Separatists claim you as one of their own in all but name. Citizens see you as a beacon of freedom, officials trust you as a steadfast ally. You are given much leeway, and it is not uncommon to be invited to business dealings and offered exclusive treatment at port.",,
relLevelFriendlySeparatists,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == contractor_separatists",FireAll RelLevelMoreDescription,"You have become a reliable ally to the Persean Separatists. The polity on Sedna has made public note of your relationship, and many citizens view you with admiration. Officers and dealers make a point of treating you well, trusting you with restricted information and hardware.",,
relLevelWelcomingSeparatists,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == contractor_separatists",FireAll RelLevelMoreDescription,"The Separatists have come to trust you as a friend of the people, and are spared the typical frosty attitude common place in the colonies. Officials occasionally overlook the more pedantic rules, and traders offer rarer goods for purchase at your request.",,
relLevelFavorableSeparatists,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == contractor_separatists",FireAll RelLevelMoreDescription,"People in Separatists territory have tacitly accepted your presence among the colonies. Polite nods and a willingness to speak to you are fairly commonplace, but any type of favored treatment is still denied to you.",,
relLevelNeutralSeparatists,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == contractor_separatists",FireAll RelLevelMoreDescription,"The Persean Separatists have no strong opinions about you, which is to say they generally view you and your $shipOrFleet with the same suspicion as the rest of the sector.",,
relLevelSuspiciousSeparatists,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == contractor_separatists",FireAll RelLevelMoreDescription,"You are a total outsider to the Separatists. Few will have words with you, even fewer will offer aid. Traders are wary to conduct business with your $shipOrFleet, and often demand perfect paperwork before even considering the possibility, not to mention the constant harassment from patrols.",,
relLevelInhospitableSeparatists,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == contractor_separatists",FireAll RelLevelMoreDescription,"Negative stories about your $shipOrFleet have spread through the union, the name ""$playerName"" is frequently mixed with choice curses and maledictions. The militia raise their guard whenever your transponder is detected, and public traders refuse to trade out of solidarity to the populous.",,
relLevelHostileSeparatists,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == contractor_separatists",FireAll RelLevelMoreDescription,"The Persean Separatists have marked you as an actively hostile actor in their space. Militia forces watch for any sign of your $shipOrFleet, and public bulletins have been distributed asking the population to report sightings of you.",,
relLevelVengefulSeparatists,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == contractor_separatists",FireAll RelLevelMoreDescription,"The entirety of the Separatists have rallied against you and everything you represent. Citizens enthusiastically volunteer for militia service to fight against your $shipOrFleet. Moreover, even the fractious polity on Sedna have agreed to fund substantial bounties, payable on your destruction.",,
relLevelSeparatistsSpeedwellPos,RelLevelMoreDescription,"PlayerFleetHasShipWithBaseHull sep_speedwell2
$faction.relValue > 0.49
$faction.id == contractor_separatists",,"You possess the flagship of the Separatist founder, The Speedwell. Though many would prefer it returned to the hands of the PSM proper, the citizenry generally tolerate you bearing the symbol of their independence.",,
relLevelSeparatistsSpeedwellNeg,RelLevelMoreDescription,"PlayerFleetHasShipWithBaseHull sep_speedwell2
$faction.relValue < 0.49
$faction.id == contractor_separatists",,"You bear the flagship of the Separatist founder, The Speedwell. Most, if not all citizens consider an outsider holding such a symbol to be appalling, and are undoubtedly petitioning the president to take action to reclaim it.",,
flavorTextMarketDusk,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == contractor_duskgroup score:10","AddText ""The port terminal is filled with various traders loading and unloading cargo. Meanwhile small groups of DRG reps' make their way through the hangars, speaking to captains about business opportunities. One section of the port has been notably reserved for Separatist ships, where crew in distinctive blue uniforms go about their tasks."" marketFlavorTextColor",,,
flavorTextMarketDuskBlacksite,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == contractor_duskgroup
$market.id == dusk_blacksite_market score:10","AddText ""The docking terminal you've been assigned is cramped and seems intentionally so. Heavily armed guards watch your crew as they attend to their tasks, and automated turrets continually sweep the area."" marketFlavorTextColor",,,
flavorTextMarketSeparatistsGeneric,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == contractor_separatists","AddText ""A mishmash of traders, servicing techs, and independent operators move throughout the hangers. One of the more hectic ports you've been too, but there is a certain rhythm to the flow, despite the apparent chaos."" marketFlavorTextColor",,,
flavorTextMarketSeparatistsSedna,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == contractor_separatists
$market.id == separatists_sedna_market score:10","AddText ""Port support staff here work tirelessly to keep things running. Snowplows regularly sweep the area, de-icing machines surround landed ships, and people move quickly to find warmer places. Regular warnings go out over PA systems with estimates on the next whiteout storm."" marketFlavorTextColor",,,
flavorTextMarketSeparatistsUmbra,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == contractor_separatists
$market.id == separatists_new_umbra_market score:10","AddText ""Oily smog and dust permeates any exposed areas of the terminal, while the scorching sun beats down on the landing pads. Below the surface giant foundries pump out materials for the Separatist colonies, further adding to the thick air. Even in the trade district, the rumble of machinery can be felt through the floor."" marketFlavorTextColor",,,
flavorTextMarketSeparatistsTehom,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == contractor_separatists
$market.id == separatists_tehom_market score:10","AddText ""Barely even large enough to hold a cruiser, the tiny port concourse holds a few traders and repair operators. People here are decidedly wary, and there is a general sense of unease wherever your crew go."" marketFlavorTextColor",,,
SDFSeparatists1Defeated,SDFSeparatists1Defeated,,$player.defeatedSeparatistsSDF1,,,
SDFSeparatists2Defeated,SDFSeparatists2Defeated,,$player.defeatedSeparatistsSDF2,,,
ngcSeparatistStart,AddNewGameChoices,CheckSetting enableSeparatistStart,"SetTooltip ngcSeparatist ""A small, mixed use force lead by a light carrier, able to engage in cargo hauling and moderate bounty hunting, though excelling in neither.""",,"10:ngcSeparatist:An external contractor in the PSM navy, commanding a Duffie (fast start)",
