name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
Separatists Common Ship Blueprint Package,sep_ship_bp_package,"package_bp, codex_unlockable",Separatists,,50000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,sep_ship_bp,A set of blueprints that enable heavy industry to produce common hulls in use by the Separatists.,5200
Separatists Military Ship Blueprint Package,sep_ship_mil_bp_package,"package_bp, codex_unlockable",Separatists,,50000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,sep_ship_mil_bp,A set of blueprints that enable heavy industry to produce military hulls in use by the Separatists.,5201
Separatists Rare Ship Blueprint Package,sep_ship_rare_bp_package,"package_bp, codex_unlockable",Separatists,,50000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,sep_ship_rare_bp,A set of blueprints that enable heavy industry to produce rare hulls in use by the Separatists.,5202
Separatists Weapon Blueprint Package,sep_wep_bp_package,"package_bp, codex_unlockable",Separatists,,25000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,sep_wep_bp,A set of blueprints that enable heavy industry to produce common weapons in use by the Separatists.,5203
Separatists Rare Weapon Blueprint Package,sep_wep_rare_bp_package,"package_bp, codex_unlockable",Separatists,,25000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,sep_wep_rare_bp,A set of blueprints that enable heavy industry to produce rare weapons in use by the Separatists.,5204
Separatists Fighter Blueprint Package,sep_fighter_bp_package,"package_bp, codex_unlockable",Separatists,,40000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,sep_fighter_bp,A set of blueprints that enable heavy industry to produce common fighters in use by the Separatists.,5205
Dusk Group Ships Blueprint Package,drg_ship_bp_package,"package_bp, codex_unlockable",Dusk Group,,75000,1000,1,,graphics/icons/cargo/drg_blueprint_package.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,drg_ship_bp,A set of blueprints that enable heavy industry to produce common hulls in use by the Dusk Research Group.,5300
Dusk Group Weapon Blueprint Package,drg_wep_bp_package,"package_bp, codex_unlockable",Dusk Group,,25000,1000,1,,graphics/icons/cargo/drg_blueprint_package.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,drg_wep_bp,A set of blueprints that enable heavy industry to produce common weapons in use by the Dusk Research Group.,5301
Dusk Group Fighter Blueprint Package,drg_fighter_bp_package,"package_bp, codex_unlockable",Dusk Group,,40000,1000,1,,graphics/icons/cargo/drg_blueprint_package.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,drg_fighter_bp,A set of blueprints that enable heavy industry to produce common fighters in use by the Dusk Research Group.,5302
,,,,,,,,,,,,,,,
Bio-metal Sample,drg_biometal_item,codex_unlockable,Nanite,,20000,1000,1,,graphics/icons/cargo/drg_biometal.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,contractor.data.scripts.campaign.items.DrgBiometalItemPlugin,,"Highly reactive nanite ferro-fluid held in stasis using energized quarantine units. It is recommended to employ hazardous material handling protocols class 5, 8, and 11. Cursory investigation suggests applications in structural manipulation.",5304
