name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Hardened Armor,contractor_hardenedarmor,1,,,"defensive,","Defenses, Requires Dock",6000,,,,5,10,15,25,contractor.data.hullmods.HardenedArmor,Adds an external layer of heat treated plates with appropriate spacing to better protect against %s damage by %s.,Protects hull from HE damage.,,graphics/hullmods/contractor_hardenedarmor.png
Composite Armor,contractor_compositearmor,1,,,"defensive,","Defenses, Requires Dock",6000,,,,5,10,15,25,contractor.data.hullmods.CompositeArmor,Adds an external layer of lightweight composite plates to better protect against %s damage by %s.,Protects hull from Kinetic damage.,,graphics/hullmods/contractor_compositearmor.png
Reflective Armor,contractor_reflectivearmor,1,,,"defensive,","Defenses, Requires Dock",6000,,,,5,10,15,25,contractor.data.hullmods.ReflectiveArmor,Adds an internal layer of magnetic dampers as well as external reflective plates to better protect against various %s type damage by %s.,Protects hull from Energy damage.,,graphics/hullmods/contractor_reflectivearmor.png
,,,,,,,,,,,,,,,,,,,
Gunnery Crews,contractor_gunnerycrews,2,,,"offensive, defensive",Weapons,5000,,TRUE,TRUE,8,15,20,40,contractor.data.hullmods.GunneryCrews,In hullmod,Improves RoF of ballistic weapons.,Increases crew lost in combat to %s.,graphics/hullmods/expanded_deck_crew.png
Asteroid Cutter,contractor_asteroidcutter,5,,Separatists,"codex_require_related, no_drop, no_drop_salvage",Special,,,,,0,0,0,0,contractor.data.hullmods.AsteroidCutter,In hullmod,Protects from asteroid impacts.,%s this ships contribution to the fleet cutter rating.,graphics/hullmods/solar_shielding.png
Industrial Hangars,contractor_industrial_hangars,5,,Separatists,codex_require_related,,,,TRUE,,0,0,0,0,contractor.data.hullmods.IndustrialHangars,In hullmod,Lowers fighter OP cost.,,graphics/hullmods/vast_hangar.png
DC Lockers,contractor_dclockers,2,,,"defensive, req_spaceport","Defenses, Requires Dock",7500,,,,5,10,15,30,contractor.data.hullmods.DCLockers,In hullmod,Ship repairs in combat.,Reduces max cargo capacity by %s.,graphics/hullmods/repair_gantry.png
Engineering Suite,contractor_engineering_suite,5,,,,Special,,,TRUE,,0,0,0,0,contractor.data.hullmods.EngineeringSuite,In hullmod,"Reduces daily supply cost, and boosts repairs.",,graphics/hullmods/contractor_engineering_suite.png
Missile CIC,contractor_missilecommand,5,,,codex_require_related,Weapons,,,TRUE,,0,0,0,0,contractor.data.hullmods.MissileCommand,In hullmod,Boosts command missiles.,,graphics/hullmods/high_res_sensors.png
