name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,logistics n/a reason,codex variant id,rarity,breakProb,minPieces,maxPieces,travel drive,number
Dusk Blacksite,duskblacksite,Star Fortress,Dusk Group,drone_station_high,400,160000,2400,1000,52,100,0,,30,200,200,2,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,100,50,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,,,0,,,,5200
Stardock,separatists_stardockhull,Stardock,Low Tech,,100,30000,1400,1000,52,100,0,,30,200,200,2,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,40,40,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,,,0,,,,5201
,separatists_stardockgunmnt,Stardock Gun Array,,forgevats_station,1,14000,1800,18000,52,650,1000,,0,0,0,10,10,2500,FRONT,,160,0.4,1,,,0,0,0,0,1,0,0,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,0.5,2,4,,5202
,separatists_stardockhangerbig,Stardock Large Hanger,,,1,11000,1300,9000,52,200,1000,2,0,0,0,10,10,2000,FRONT,,180,0.4,1,,,0,0,0,0,1,0,0,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,0.5,2,4,,5203
,separatists_stardockhangerleft,Stardock Light Hanger,,,1,8000,1000,1000,52,200,1000,1,0,0,0,10,10,1500,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,0.5,2,4,,5204
,separatists_stardockhangerright,Stardock Light Hanger,,,1,8000,1000,1000,52,200,1000,1,0,0,0,10,10,1500,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,0.5,2,4,,5205
,separatists_stardockmismnt,Stardock Missile Array,,forgevats_station,1,17000,1600,18000,52,700,1000,,0,0,0,10,10,2500,FRONT,,200,0.4,1,,,0,0,0,0,1,0,0,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,0.5,2,4,,5206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syndrome,sep_defense_drone,Drone,Separatists,,,2500,450,1600,,400,40,,250,400,300,60,90,200,FRONT,,180,0.3,0.8,,,0,0,,,,,,,,,,,,,,,,,,,UNBOARDABLE,no_dealer,Not available (drone),,,0.4,2,2,,5207
Nemesis,sep_station_defense_drone,Drone,Separatists,,,4000,500,2000,,500,80,,250,400,300,60,90,250,FRONT,,180,0.1,1,,,0,0,,,,,,,,,,,,,,,,,,,UNBOARDABLE,no_dealer,Not available (drone),,,0.4,2,2,,5207.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andross,sep_andross_fighter,,Separatists,sep_andross_intercept,,450,125,150,52,100,0,,125,75,75,45,90,45,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5208
