id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number
sep_andross_wing,sep_andross_fighter_sd,"fighter3, fighter, sep_fighter_bp, merc, auto_fighter, stay_in_front_of_ship",1,,2,4,BOX,1000,450,200,4,FIGHTER,Support Drone,6,3000,,,,,,,,,,,,,5200
sep_andross_s_wing,sep_andross_fighter_sd,"fighter, auto_fighter, stay_in_front_of_ship, no_drop, no_sell, hide_in_codex",0,,1,2,BOX,1000,450,200,2,FIGHTER,Support Drone,6,1500,,,,,,,,,,,,,5201
sep_andross_pir_wing,sep_andross_pir_fighter_sd,"bomber3, bomber, pirate_bp, merc, auto_fighter, stay_in_front_of_ship",1,,3,15,BOX,2500,450,200,2,BOMBER,Hacked Drone,15,4000,,,,,,,,,,,,,5200
sep_fearless_wing,sep_fearless_fighter_sd,"interceptor3, interceptor, sep_fighter_bp, merc, ind",1,,4,6,V,3000,200,0,5,INTERCEPTOR,Interceptor,10,4000,,,,,,,,,,,,,6
sep_northstar_wing,sep_northstar_fighter_sd,"fighter11, fighter, sep_fighter_bp",2,,5,10,V,4000,750,50,3,FIGHTER,Strike Fighter,12,8000,,,,,,,,,,,,,5202
sep_ripcord_wing,sep_ripcord_fighter_sd,"fighter10, fighter, sep_fighter_bp",2,0.9,5,12,BOX,6000,750,0,2,FIGHTER,Fighter,15,7000,,,,,,,,,,,,,
sep_meteor_wing,sep_meteor_fighter_sd,"bomber5, bomber, sep_fighter_bp, merc, ind",2,,5,13,V,3000,1750,750,2,BOMBER,Bomber,13,7000,,,,,,,,,,,,,5203
sep_marguese_wing,sep_marguese_fighter_sd,"interceptor8,interceptor,sep_fighter_bp",3,0.5,5,15,CLAW,3000,1000,250,4,INTERCEPTOR,Interceptor,15,7500,,,,,,,,,,,,,5204
sep_voidwolf_wing,sep_voidwolf_fighter_sd,"bomber, bomber6, merc, sep_fighter_bp",3,0.75,6,15,V,4000,2000,350,3,BOMBER,Stealth Bomber,15,10000,,,,,,,,,,,,,5205
sep_repairdrone_wing,sep_repairdrone_fighter_sd,"support5, sep_fighter_bp",3,0.8,3,12,BOX,2000,400,,2,SUPPORT,Repair Craft,15,4000,,,,,,,,,,,,,
drg_northstar_wing,drg_northstar_fighter_sd,"fighter8, fighter, drg_fighter_bp",2,0.75,4,8,V,4000,750,50,3,FIGHTER,Strike Fighter,12,8000,,,,,,,,,,,,,5300
drg_voidwolf_wing,drg_voidwolf_fighter_sd,"bomber, bomber5, merc, drg_fighter_bp",3,0.75,6,18,V,4000,2000,350,2,BOMBER,Stealth Bomber,18,10000,,,,,,,,,,,,,5205
drg_voidwolf_b_wing,drg_voidwolf_b_fighter_sd,"bomber, bomber7, merc, drg_fighter_bp",3,0.5,7,18,V,4000,1000,375,1,BOMBER,Stealth Bomber,18,15000,,,,,,,,,,,,,5205
nanite_fighter_wing1,nanite_fighter1_id001,"fighter3, interceptor, contractor_nanite, auto_fighter, codex_unlockable, no_drop, no_sell",1,,5,8,CLAW,4000,300,500,4,FIGHTER,Fighter,8,9000,,,,,,,,,,,,,
nanite_fighter_wing2,nanite_fighter2_id002,"bomber4, bomber, contractor_nanite, auto_fighter, codex_unlockable, no_drop, no_sell",1,,6,10,CLAW,4000,2500,300,3,BOMBER,Bomber,15,6000,,,,,,,,,,,,,
nanite_fighter_wing3,nanite_fighter3_id003,"fighter5, fighter, contractor_nanite, auto_fighter, codex_unlockable, no_drop, no_sell",2,,6,6,V,4000,500,300,2,FIGHTER,Heavy Interceptor,10,10000,,,,,,,,,,,,,
