id,type,text1,text2,text3,text4,text5,notes
duskfrozen,PLANET,"An unusual variant of a frozen planet, where native compounds in the atmosphere form toxic red crystals that fall akin to snow.",,,,,
star_bluegreen_giant,PLANET,"A rare variant of a F2 giant star in the later stages of its lifespan. While stars of this type emit green light naturally, it is typically accompanied by rest of the spectrum, creating a soft white light. However this particular star seems to have a surface contaminated with uncommon heavy elements that absorb low wavelength light, shifting the apparent color to a bluish-green.",,,,,
contractor_duskgroup,FACTION,"The Dusk Research Group is the remnant of a clandestine pre-collapse organization that specialized in exotic, risky, and potentially useless R&D projects. After the fall of the Domain, excess resources became a luxury which swiftly put an end to the formal operation as such and most of its personnel were absorbed by Tri-Tachyon. However the more determined (and unhinged) members took what they could and formed DRG in its modern incarnation. Far away from the Core they restored an old facility on the planet Dusk, which became their new home of operations, as well as their namesake.

Due to the nature of the body politic of the sector, the Dusk Group is considered undesirable by, and at odds with much of the core factions. In need of both economic support and defense, the group has since attached themselves to their upstart neighbors. With their converging interests, the Persean Separatists and DRG operate in tandem, looking out for one another when trouble arises.",,,,,
contractor_separatists,FACTION,"A collection of idealists, wayward spacers, and rejects from other factions, the Persean Separatists represent a final effort to control ones own destiny or die trying. Though comparable to the League, the Separatists have banded together under one governing body and purport to uphold a vaguely democratic system. In reality, with the possible exception of the capital of Sedna, harsh conditions mean the colonies operate much more like a mercenary fleet, with leaders strictly followed and only occasionally deposed after a pronounced failure.

As the story goes, the Separatists rose out of a mercenary group, who at the command of their leader, took control of the Koit system for themselves. Evidently fed up with the older factions ever ponderous nature, the commander formally created a government with himself as its head.",,,,,
drg_arkdesc,CUSTOM,"The remains of a massive starship, a veritable mobile colony containing all the amenities thereof, before being lost to time. It likely was used for clandestine research or engineering projects by the DRG, but now sits silently. One of it's reactors appears have blown open, emitting a colorful display on radiation scanners.",,,,,
duskblacksite_desc,CUSTOM,NO MATCHING ENTRY. Ensure your Tri-Tachyon brand TriPad is registered to receive the most up-to-date codex entries.,,,,,
duskplanetdesc,CUSTOM,"Home of the eponymous Dusk Research Group, this planet is full of curiosities both natural and technological. Its most striking feature is the distinctive and energetic red crystals that fall like snow, covering most of the planets surface. Incidentally, the chemical compounds in the crystals are also toxic to humans, making surface habitation near impossible. Deep underground however, the DRG labs remain constantly busy, as they work on yet more dubious projects.",,,,,
separatists_sedna_desc,CUSTOM,"The capital world of the Persean Separatists, ever wreathed in ice and flowing snow. Enormous continent sized snow storms are common, and must be accounted for by any surface dwellers, lest entire cities become disabled beneath heavy snowfall. Despite the frigid conditions, the bulk of Separatist citizens call Sedna home, not to mention the tumultuous political apparatus housed there.",,,,,
separatists_umbra_desc,CUSTOM,"A dry, hellish landscape covers the entirety of this world. Conditions practically prohibit surface habitation, requiring all facilities to be built underground which inevitably results in cramped and strained living arrangements. People here are hardy, wary, and sometimes criminal.",,,,,
separatists_iapidi_desc,CUSTOM,"Iapidi is dense with conductive metals, making it an ideal mining world, as well as being the source of the planet's strong magnetic field that mercifully shields it from radiation. Most of the Separatists shipyards are stationed here as well, to exploit the aid of low gravity in ship building.",,,,,
separatists_tehom_desc,CUSTOM,"A tranquil water planet, with calm weather and stable temperatures across most of its surface. Even with the lack of land, Tehom would make for an suitable colony site, as evidenced by the remains of Domain era machinery, which now floats aimlessly across the seas. ",,,,,
separatists_stardockhull,SHIP,"Crude docking station to facilitate basic stellar trade and minimal colony access. Ships are made to stay in orbit, and cargo is ferried via light shuttles. This particular stardock has been enhanced with basic combat modules.",,,,,
sep_andross_fighter,SHIP,"Utility drone designed to protect ships from asteroid impacts at any cost, reconfigured into a combat role. Quite tough, and easy to maintain / operate.",,,,,
sep_northstar_fighter,SHIP,"Iconic Separatist fighter capable of defeating most small craft and going toe-to-toe with light frigates. Carries a light payload of missiles for anti-fighter sorties, and a Mk44 autogun, devastating against unshielded vessels.

The Northstar is probably the most famous individual craft in Separatist space. Appearing on militia ads, propaganda posters, and commonly displayed during parades, the fighter is as much a recruiting device as it is a combat vehicle. Many young men and women enlist in the PSM hoping to become a Northstar pilot, or even co-pilot. Although such a prospect is much more pragmatic than achieving a starship captaincy, numbers dictate that many budding servicemen will never see the inside of the cockpit.",,,,,
sep_meteor_fighter,SHIP,"Originally a heavy cargo lifter, the Meteor has long since been retrofitted into a rocket bomber for PSM service. Although somewhat lacking in raw firepower, its armor and ranged payload make it one of the most survivable light craft to pilot in the Separatist navy.

During their time in service, Meteors have earned a reputation as an 'old mans post'. The generally high survival rate combined with its past as an industrial vehicle means those assigned to them tend to be on the older side. If you ever see a group of PSM members in heavy pilot gear and salt-and pepper hair at the bar, you've found the local Meteor wing. ",,,,,
sep_fearless_fighter,SHIP,"Light interceptor well suited to engaging other small craft. Although the mounted rotary gun is passably strong, the fighter's thin frame means it tend to falter when tasked with pressing through point-defense fire.

Unlike virtually any other star-fighter, the Fearless is notable for still possessing traditional wings despite mainly operating in the vacuum of space. This is because fighter was also designed to fly in atmosphere, and serves as the Separatists' primary terrestrial military aircraft.",,,,,
sep_voidwolf_fighter,SHIP,"High speed bomber capable of delivering its payload and escaping before hostiles can retaliate. Armed with a quad of anti-fighter missiles for defense and a single command torpedo for offense, the Voidwolf makes an excellent medium bomber to round out any fleet.",,,,,
sep_marguese_fighter,SHIP,"An ungainly beast made of welded together leftovers from a mixture of Separatist and Dusk Group LPC's, the Marguese operates mainly as a heavy point-defense platform. ",,,,,
sep_repairdrone_fighter,SHIP,Heavy service craft made to support ships in active combat.,,,,,
sep_ripcord_fighter,SHIP,"Affectionately known as the 'flying bathtub' in the PSM, Ripcord's serve as a tough, albeit uncomfortable, escort and attack fighter. Fast in a straight line, decent armor, and a small shield to prevent 'pilot sniping', the fighter is well suited to combat conditions despite its lack of creature comforts.

Not much more than a slabs of armor welded into a needle and an engine/weapon module tacked on the rear, the craft offers little that is not combat related.",,,,,
drg_voidwolf_fighter,SHIP,"High speed bomber capable of delivering its payload and escaping before hostiles can retaliate. This Dusk Group model drops the Gator missiles for another command torpedo, as well as exchanging some armor for a light shield generator.",,,,,
drg_voidwolf_b_fighter,SHIP,"Heavily modified Voidwolf bomber, with the bomb bay completely removed and replaced with an antimatter catalyzer. Capable of discharging a beam almost as powerful as a Dragonfire, with none of the downsides incumbent on missile targeting systems.",,,,,
separatists_tomcat,SHIP,"An all-purpose heavy frigate of Separatist design, and is frequently found in light patrols. Less specialized than its 'super' cousin, the Tomcat can fulfill most combat roles provided it is outfitted properly.

As a precursor to the Super Tomcat, it has technically been outmoded,  but the decision was made to keep it in production as the base hull is the same and therefore easy to manufacture simultaneously.",,,,,
separatists_supertomcat,SHIP,"One of the more specialized designs out of the Separatists' shipyards, the Super Tomcat serves as a deadly flanker in fleet combat.

The core of the class centers around housing the Retribution Chaingun, and almost all internal space has been dedicated to supporting the weapons operation, even to detrimental effects on the powerplant and logistical profile.

Tactically inflexible, commanders should be warned against fielding Tomcats without proper support, as they tend to falter in one-on-one combat, particularly against well shielded enemies.",,,,,
sep_anacreon,SHIP,"The Anacreon class was designed to serve as the Separatists premier missile platform, with integrated storage and advanced targeting systems all managed by a dedicated CIC. Although more expensive and less heavily armed than some, Anacreon vessels generally boast a better hit ratio and more staying power.",,,,,
sep_arbiter,SHIP,"Heavy firepower, reasonably fast, and tough to boot, Arbiter-class vessels are some of the finest and most desirable posts in the PSM. Many Arbiter captains have even been known to decline promotions to keep their ship.",,,,,
sep_comet,SHIP,"Small rugged commercial hull sold for civilian use. Originally a Separatist design, Comet's are frequently repainted and resold across the sector and are a common choice for the enterprising individual starting their star-faring career.",,,,,
sep_duffie_carrier,SHIP,"A flexible light cruiser able to be outfitted for a variety of roles, without costing a fortune. Additionally, the ship is equipped with heavy thrusters to aid with flight in gravity wells, as well as in combat. These traits make Duffies a common sight as flagships in light fleets, shepherding smaller vessels throughout PSM space.",,,,,
sep_duffie,SHIP,"Experimental modification of a baseline Duffie, that replaces the main flight deck with a spinally mounted energy weapon of DRG design.

A test-bed ship borne of the many layered agreements between the Separatists and the DRG, most pertinent of which specifies that '- the more numerable party may principally bear the risks of mutually beneficial projects presenting a potential hazard to personnel.' Despite the understandable protests raised by fleet captains, the PSM, and more specifically the Duffie, was selected for live testing of a FCRG and its attendant field coherer.",,,,,
sep_duffie_drg,SHIP,DRG refit of a Duffie with a fully realized energy coherer.,,,,,
sep_fencer_base,SHIP,"Lean, fast, and rather fragile, a set of traits not commonly found in Separatist design, the Fencer class makes for an aggressive escort and force projection vessel.",,,,,
sep_fencer,SHIP,"A retrofit of a base Fencer hull that mounts an external flight deck on the rear, with a small hangar replacing the medium gun mount and magazine.",,,,,
separatists_grizzly,SHIP,"A slow and bulky cruiser, primarily tasked with fleet support operations. Although not well suited for front line fighting, its heavy armor allows it to weather moderate combat none the less.",,,,,
sep_independence,SHIP,"Crown jewel of the PSM navy, the eponymous Independence class both represents the Separatists chronic desire to stay removed from the Hegemony, and is the principle means by which they intend to do so.",,,,,
sep_keystone,SHIP,"A heavy station tug modified for auxiliary navy service. Most of the ship's internal space is dedicated to its engines, which unfortunately left little room for mounting weapon systems. However the increased mass limit allowed for heavy up-armoring, including a sacrificial bow plate. Since its introduction, the Keystone quickly fell into the role of screening vessel in smaller fleets.",,,,,
sep_mainstay,SHIP,"Designed as a pure fleet anchor, Mainstays find themselves right at home in the center of fighting. Thanks to the auxiliary armor and augmented reactor, it can easily punch above its own weight, especially when supported by allies with point-defense.",,,,,
sep_overlord,SHIP,"The Overlord is more closely related to a mobile shipyard than a warship. Capable of immense force projection on the battlefield, although its logistical overhead generally prevents it from being fielded away from colonized space.",,,,,
sep_safeguard,SHIP,"A modified Safeguard that fully realizes its interceptor abilities, exchanging a medium mount for a resonator, allowing the ship to use its interdictor array for extended periods.",,,,,
sep_safeguard_base,SHIP,"Derived from the original DRG design, the Safeguard serves as a heavy interceptor and disabling vessel. It is generally tasked with catching or slowing fast ships, until its slower allies are able to enter engagement range.",,,,,
sep_ship26,SHIP,An experimental command hull made to ease the burden of managing cumbersome PSM fleets and their many light vessels.,,,,,
sep_shomitraile,SHIP,"An uncommon capital craft with powerful engines made for pursuit operations and generally keeping pace with smaller ships. These class of vessels have earned a reputation of being crewed by martyrs, whether due to Shomitraile captains being chronically reckless or the design itself being doctrinally prone to exposure is still debated.",,,,,
sep_spectre,SHIP,ELINT destroyer capable of interfering with enemy sensors across the battle space. Not well suited with direct combat.,,,,,
sep_spectre_pir,SHIP,"A captured Spectre, rebuilt into an attack destroyer. Unsurprisingly, most of the jamming array was destroyed in whatever fight that lead to its capture, and without the expertise to rebuild the array, the pirates instead replaced the antennae with energy weapons rigged into the power runs.",,,,,
sep_speedwell2,SHIP,"Flagship of the Separatist founder, very powerful and capable of operating on its own, as well as in fleet operations. Symbolically important to the Separatists.",,,,,
sep_starmaster,SHIP,"The Starmaster is a low cost all-purpose hull, originally designed to push cargo, that now fills a multitude of roles in Separatist fleets. Due to the difficulty in producing new hulls post collapse, the Separatists found it easier to modify existing hulls to suit their needs, and the Starmaster being cheap and common, was the prime choice.

In current times, the base hulls are produced en-mass, and then retrofitted to according to whatever needs the PSM navy feels they have. Although still not particularly suited to direct combat, with the times being what they are, Starmasters are likely to remain as a core Separatist ship.",,,,,
sep_starmaster_cargo,SHIP,"A Starmaster modified by the Separatists, most notably with an armored prow capable of withstanding heavy impacts. Due to the prevalence of asteroids in Separatist space, it was determined that having protection from impacts was more important than absolute cargo capacity.",,,,,
sep_starmaster_cargo_big,SHIP,"The M102 Starmaster is the closest thing to the original design that still exists today, a heavy freighter. Able to push large amounts of cargo cradled between the combat pylons.",,,,,
sep_starmaster_carrier,SHIP,"Starmaster with the cargo pusher removed and light fighter decks attached, transforming it into a mid level carrier.",,,,,
sep_starmaster_combat,SHIP,"After replacing the cargo system with a gunnery module, the M301 serves as a relatively low cost combat vessel.",,,,,
sep_station_big,SHIP,"An immense star fortress of Separatist design, featuring short ranged but heavy firepower on all sides, and augmented with defense nodes, drones, and a minefield.",,,,,
sep_station_defense_drone,SHIP,"A durable station defense drone, capable of absorbing large amounts of enemy fire, and threatening any ships that venture to close.",,,,,
sep_station_med_module_gun,SHIP,Secondary gunnery module made to cover the opposed part the station from he primary gunnery module.,,,,,
sep_station_med_module_pd1,SHIP,"Mid-sized point defense module, rounding out the weak spots in the stations defenses.",,,,,
sep_station_medium,SHIP,"A large battlestation of Separatist design, featuring short ranged but heavy firepower on all sides, and augmented with defense nodes.",,,,,
sep_station_small,SHIP,"A space station of Separatist design, featuring short ranged but heavy firepower on all sides.",,,,,
sep_station_small_module,SHIP,Support module hosting large hangar bays and command posts for fielding numerous fighter squadrons.,,,,,
sep_station_small_module2,SHIP,"A heavy gunnery module bristling with ballistic mounts, more than able of destroying any ship that enters its firing arcs.",,,,,
sep_station_small_module3,SHIP,"An advanced module equipped with a small but well outfitted fighter bays, powerful weapons, and a giant interdictor array capable of disabling even capital ships.",,,,,
sep_venom_mk1,SHIP,"A small but tough frigate that, while not explicitly designed for combat, can serve as an good harasser of larger vessels. Thanks to the unique arrangment of over sized engines, the ship has more agility than other low-tech ships, though it comes at the expense of the crew's comfort.

A common sight in separatist space, the Venom can often be found in nearly any fleet, performing what is often its only task in life: asteroid cutting.

Any spacer knows traveling too fast through an asteroid field risks an asteroid breaking through the drive bubble and impacting a ship. Cutters, like the Venom, are made to intercept and shatter the asteroid into small pieces before it can impact a vessel, rendering it inconsequential.",,,,,
sep_venom_mk2,SHIP,"Light frigate that has up-gunned quite substantially, and though somewhat fragile, is well suited to attacking small vessels and harassing larger ships.",,,,,
sep_venom_mk2_true,SHIP,"The Venom mark two, updated for full military service",,,,,
sep_wellerman,SHIP,"Durable medium freighter made for and used by Separatist civilians. The Wellerman exemplifies the general paranoia of PSM designers when compared to more common cargo ships, as many sacrifices to capacity and efficiency have been made in the name of survivability.",,,,,
sep_wellerman_combat,SHIP,"Reinforced and militarized medium freighter made for the PSM navy. Combat rated Wellermen' further reduce hauling capacity for better fighting performance. Most notably, one of the main freight elevators has been replaced with an Andross drone launcher to aid with combat and navigation hazards.",,,,,
sep_wellerman_missile,SHIP,"A stopgap retrofit, created after a series of skirmishes highlighted the PSM lacked medium missile capacity in small fleets. Most of the freight related systems have been stripped away to make room for the missile mounts. Unfortunately, the limitations of the base hull remain, leaving the ship rather vulnerable when faced with direct engagements.",,,,,
sep_termite_fighter,WEAPON,"The Termite fires specialty rounds that pierce targets then explode inside. Originally designed to shatter asteroids, the shells have since proven to be effective against a variety of light craft. Fighter pilots have a particular fear of it, few things are as horrifying as seeing a Termite embed in your hull and having to wait for the inevitable.",,,,,
sep_termite,WEAPON,"The Termite fires specialty rounds that pierce targets then explode inside. Originally designed to shatter asteroids, the shells have since proven to be effective against a variety of light craft. Fighter pilots have a particular fear of it, few things are as horrifying as seeing a Termite embed in your hull and having to wait for the inevitable.",,,,,
sep_mk48,WEAPON,"General purpose autocannon loaded with simple fragmentation shells and magnetic fuses. Primarily serves as an anti-torpedo defense weapon, but can also offer good suppression of clumped missiles and light fighters. Stabilizers restrict movement while firing, meaning the Mk48 may struggle to hit laterally moving targets.",,,,,
sep_battleship,WEAPON,"The highest caliber modular cannon in the Separatists' arsenal, the MK1 is designed to break through heavy armor and overwhelm shields with explosive burst fire. ",,,,,
sep_type1_cruise_med,WEAPON,"A long range and extremely fast missile system, the Type 1 is very difficult to stop once it reaches top speed.

A full size autoloader allows the weapon system to sustain fire during combat, and the dual fire mode almost guarantees a hit even in the face of point defenses.

The Type 1 serves as a long range cruise missile, which after a brief programming period locks to its target and engages thrusters. The tracking is not updated actively while in flight and can easily miss quickly strafing targets. As an upside, the missile cannot be distracted by flares.",,,,,
