trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,randomTextureOffset,distance,dispersion,drift,frameOffsetMult,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sep_battleship_shot_trail1,sep_battleship_shot,base_trail_heavySmoke,10,0.2,0.3,0.8,20,40,"[50,50,50]","[20,20,20]",0.5,300,5,TRUE,-50,2,1,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,TRUE,TRUE
sep_battleship_shot_trail2,sep_battleship_shot,base_trail_heavyBurn,10,0,0,0.6,10,5,"[255,50,50]","[204,50,50]",0.5,300,5,TRUE,20,0,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
sep_battleship_shot_trail3,sep_battleship_shot,base_trail_heavySmoke,10,0,0,0.4,25,35,"[50,50,50]","[50,10,10]",0.4,200,5,TRUE,0,0,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
sep_battleship_shot_trail4,sep_battleship_shot,base_trail_heavySmoke,10,0.05,0.1,0.2,20,30,"[180,120,100]","[50,10,10]",0.3,200,5,TRUE,10,0,1,0,TRUE,FALSE,TRUE,10,30,0.3,0,0,80,TRUE,FALSE
sep_termite_shot_trail,sep_termite_shot,base_trail_contrail,8,0.01,0.2,0.2,4,4,"[255,100,100]","[200,150,150]",0.5,200,5,TRUE,0,0,1,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,FALSE,TRUE
sep_quadauto_shot_trail1,sep_quadauto_shot,base_trail_smooth,8,0,0.1,0.4,10,6,"[10,240,10]","[10,200,10]",0.5,300,5,TRUE,0,0,1,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,FALSE,TRUE
sep_quadauto_shot_trail2,sep_quadauto_shot,base_trail_smooth,8,0,0.1,0.4,6,2,"[255,255,255]","[200,200,200]",0.5,300,5,TRUE,0,0,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,TRUE
sep_quadauto_small_shot_trail1,sep_quadauto_small_shot,base_trail_smooth,8,0,0.1,0.4,10,6,"[10,240,10]","[10,200,10]",0.5,300,5,TRUE,0,0,1,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,FALSE,TRUE
sep_quadauto_small_shot_trail2,sep_quadauto_small_shot,base_trail_smooth,8,0,0.1,0.4,6,2,"[255,255,255]","[200,200,200]",0.5,300,5,TRUE,0,0,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,TRUE
sep_rag_fighter_shot_trail1,sep_rag_fighter_shot,base_trail_smooth,6,0,0.1,0.25,8,4,"[10,240,10]","[10,200,10]",0.4,300,5,TRUE,0,0,1,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,FALSE,TRUE
sep_rag_fighter_shot_trail2,sep_rag_fighter_shot,base_trail_smooth,6,0,0.1,0.25,4,1,"[255,255,255]","[200,200,200]",0.4,300,5,TRUE,0,0,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,TRUE
sep_lightcycler_shot_trail1,sep_lightcycler_shot,base_trail_smoke,8,0.05,0.2,0.1,6,4,"[225,225,250]","[175,175,200]",0.5,250,2,TRUE,0,2,1,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE
sep_mk41_shot_trail1,sep_mk41_shot,base_trail_smooth,12,0,0.05,0.2,8,4,"[255,10,10]","[200,10,10]",0.4,300,5,TRUE,0,0,1,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,FALSE,TRUE
sep_mk41_shot_trail2,sep_mk41_shot,base_trail_smoke,12,0.05,0.1,0.3,8,5,"[250,225,225]","[200,175,175]",0.45,300,2,TRUE,0,2,1,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
sep_ags_shot_trail1,sep_ags_shot,base_trail_zapWithCore,6,0,0.2,0.1,8,8,"[50,200,255]","[50,200,255]",0.6,300,5,TRUE,-8,0,1,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE
