name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#separatists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grizzly Minelauncher,grizzly_minelauncher,5,,,1000,,1000,,30,10,20,50,,,HIGH_EXPLOSIVE,500,,0,3,1,0,10,10,0,0,,20,1000,120,600,,,"SYSTEM,GUIDED_POOR,DO_NOT_CONSERVE","no_sell, no_drop, no_drop_salvage, show_in_codex",,Separatists,,Area Denial,N/A,Mine,,,,,,,TRUE,5200
FCRG Accelerator,sep_duffie_spinal,5,,,750,,300,20,60,5,0,,,,ENERGY,200,,3.8,6.2,1,,0,6,0,1,,1200,,,100,,,"SYSTEM, STRIKE, USE_VS_FRIGATES, IMPORTANT","no_sell, no_drop, no_drop_salvage, show_in_codex",,Separatists,,Strike,,,Fixed,,"Shells unstable nature cause them to do %s less damage to armor and hull, and may shatter into pieces while in flight. However, shells that hit hull before splitting deal %s damage, and leave a destabilizing residue, causing up to %s damage over time, depending on number of impacts.",33%|150 Emp|500 Emp,"Shells are unstable, and may randomly (and at max range) shatter and discharge into %s sub-munitions that deal %s damage each.",5|30 Kinetic,,5201
FCRG Accelerator Sub-Munition,sep_duffie_spinal_sub,5,,,250,,30,20,10,20,0,,,,KINETIC,0,,0,4.3,15,0.05,0,10,0.66,5,,1000,,,10,,,SYSTEM,"no_sell, no_drop, no_drop_salvage,",,Separatists,,Anti Shield,,,,,,,,,,5202
Mk 1 Cannon,sep_battleship,2,0.9,2500,850,,700,,200,9,20,,,,HIGH_EXPLOSIVE,630,,0,3,1,,1,10,2,10,,700,,,400,,,,"he18, sep_wep_bp",,Separatists,,Anti Armor,,,,,,,,,,5203
Mk 4 Cannon,sep_mk4,2,0.8,3000,900,,250,,75,10,20,,,,KINETIC,225,,0,4,1,,0,8,1,10,,800,,,400,,,,"kinetic18, sep_wep_bp",,Separatists,,Anti Shield,,,,,"Explodes on impact, dealing an extra %s damage.",100 Fragmentation,,,,5204
Mk 24 Cannon,sep_mk24,2,,1250,900,,250,,75,20,8,,,,KINETIC,225,,0,3,1,,0,6,1,10,,800,,,400,,,,"kinetic15, sep_wep_bp",,Separatists,,Anti Shield,,,,,"Explodes on impact, dealing an extra %s damage.",100 Fragmentation,,,,5204.5
Advanced Gun System,sep_ags,2,0.8,1500,850,,200,200,12,45,11,,,,FRAGMENTATION,150,,0.9,0.2,1,,0,0,0,1,,800,,,50,,,FIRE_WHEN_INEFFICIENT,"kinetic14, sep_wep_rare_bp",,Separatists,,Anti Shield,,,,,"Deals a flat %s bonus damage on shield hits, ignoring %s. Also creates %s arcs that deal %s %s damage.",150|shield hardness|4|50|Emp,,,,5205
Helix Railgun,sep_railgun,2,0.7,1750,900,,150,,20,25,12,,,,KINETIC,165,,1.4,1.42,4,0.06,0,6,2,5,,1500,,,40,,,,"kinetic15, sep_wep_rare_bp",,Separatists,,Anti Shield,,,,,,,,,,5206
Mk 31 Cannon,sep_mk31,2,,1250,750,,175,,15,20,10,,,,HIGH_EXPLOSIVE,160,,0,2,1,,0,9,1,10,,700,,,50,,,,"he13, sep_wep_bp",,Separatists,,Anti Armor,,,,,,,,,,5207
Mk 34 Autocannon,sep_mk34,2,,1000,750,,75,,3,30,10,,,,KINETIC,60,,0,0.4,1,,3,6,0.5,1,,850,,,20,,,,"kinetic13, sep_wep_bp",,Separatists,,Anti Shield,,,,,,,"At max range, shell explodes into %s sub-munitions that deal %s damage each.",7|10,,5208
Mk 38 Autocannon,sep_mk38,1,,1000,500,,80,,2,15,9,,,,FRAGMENTATION,20,,0,2.95,16,0.08,1,10,0.5,15,,700,,,20,,,"PD, ANTI_FTR","pd14, LR, separatists, sep_wep_bp",,Separatists,,Point Defense,,,,,,,,,,5209
Heavy Assault Gun,sep_mrag,2,0.9,1250,700,,50,,5,35,10,,,,FRAGMENTATION,25,,0,0.08,1,,1,12,0.5,5,,1200,,,20,,,ANTI_FTR,"he10, sep_wep_bp",,Separatists,,General,,,,,Deals %s extra high explosive damage on hit.,20,,,,5210
Rotary Assault Gun,sep_rag,1,,800,650,,50,,5,45,6,,,,FRAGMENTATION,25,,0,0.16,1,,1,8,1,5,,1000,,,20,,,ANTI_FTR,"he5, sep_wep_bp",,Separatists,,General,,,,,Deals %s extra high explosive damage on hit.,20,,,,5211
Rotary Assault Gun (Fighter),sep_rag_fighter,1,,,350,,40,,4,45,0,,,,FRAGMENTATION,20,,0,0.12,1,,1,8,1,4,,900,,,20,,,"SYSTEM,FIRE_WHEN_INEFFICIENT,PD,PD_ALSO","show_in_codex,no_sell,no_dealer,no_drop_salvage",,Separatists,,General (Fighter),,,,,Deals %s extra high explosive damage on hull hits.,5,,,,5212
Mk 41 Autocannon,sep_mk41,1,,750,600,,45,,3,30,6,30,2,15,HIGH_EXPLOSIVE,45,,0,0.12,1,,4,8,0.5,3,,550,,,20,,,,"he11, sep_wep_bp",,Separatists,,Anti Armor,,,,,,,,,,5213
Mk 41 Autocannon (Fighter),sep_mk41_fighter,0,,,300,,35,,2,25,0,18,2,9,HIGH_EXPLOSIVE,31.5,,0,0.19,1,,5,9,0.5,3,,550,,,20,,,SYSTEM,"no_sell, no_drop, no_drop_salvage, show_in_codex",,Separatists,,Anti Armor (Fighter),,,,,,,,,,5214
Mk 44 Autocannon,sep_lightcycler,1,,1000,650,,55,,3,25,6,,,,KINETIC,45,,0.3,3,3,0.75,1,3,0.333,3,,850,,,20,,,,"kinetic11, sep_wep_bp",,Separatists,,Anti Shield,,,,,,,"At max range, shell explodes into %s sub-munitions that deal %s damage each.",5|10,,5215
Mk 44 Sub-Munition,sep_lightcycler_sub,5,,,100,,10,,1,25,0,,,,KINETIC,28,,0,4.3,15,0.05,0,10,0,5,,1200,,,10,,,SYSTEM,"no_sell, no_drop, no_drop_salvage,",,Separatists,,Anti Shield,,,,,,,,,,5216
Mk 48 Autocannon,sep_mk48,1,,250,450,,75,,2,11,5,,,,FRAGMENTATION,20,,0,2.95,8,0.15,1,12,2,15,,650,,,20,,,"PD, ANTI_FTR","pd9, LR, separatists, sep_wep_bp",,Separatists,,Point Defense,,,,,,,,,,5217
Mk 54 Autocannon,sep_mk55,1,,200,800,,45,,1,40,4,,,,KINETIC,45,,0,0.8,1,,0,5,1,15,,800,,,20,,,,"kinetic6, LR, sep_wep_bp",,Separatists,,Anti Shield,,,,,"Explodes on impact, dealing an extra %s damage.",50 Fragmentation,,,,5218
Mk 74 Autocannon (Fighter),sep_mk74,0,,200,400,,30,,1,30,0,,,,KINETIC,20,,0,0.5,1,,0,3,1,15,,700,,,20,,,"SYSTEM,PD,PD_ALSO","no_sell, no_drop, no_drop_salvage, show_in_codex",,Separatists,,Anti Shield (Fighter),,,,,"Explodes on impact, dealing an extra %s damage.",20 Fragmentation,,,,5219
Termite Launcher (Fighter),sep_termite_fighter,0,,,400,,35,,4,30,0,30,,,KINETIC,30,,0.5,1.5,1,,2,2,0,0,,650,,,20,,,SYSTEM,"no_sell, no_drop, no_drop_salvage, show_in_codex",,Separatists,,Anti Shield (Fighter),,,,,"Explodes after a short delay, dealing %s fragmentation damage, if impacting a fighter deals %s damage.",100|200,,,,5220
Termite Launcher,sep_termite,1,,1000,600,,40,,4,35,3,,,,KINETIC,30,,0,1,1,,2,5,3,2,,700,,,25,,,,"kinetic5, sep_wep_bp,",,Separatists,,Anti Shield,,,,,"Explodes after a short delay, dealing %s fragmentation damage, if impacting a fighter deals %s damage.",100|200,,,,5221
Heavy Termite Launcher,sep_termite_heavy,5,,,650,,40,,4,25,3,,,,KINETIC,30,,0,1,2,0.2,1,5,2,2,,750,,,25,,,SYSTEM,"no_sell, no_drop, no_drop_salvage, show_in_codex",,Separatists,,Anti Shield,,,,,"Explodes after a short delay, dealing %s fragmentation damage, if impacting a fighter deals %s damage.",100|200,,,,5222
Brigadier Nuclear Cannon,sep_dirty_nuke_small,3,,5000,800,,2000,,75,15,30,,,,HIGH_EXPLOSIVE,1800,,3,7,1,,3,3,0,1,,700,,,200,,,"DANGEROUS,STRIKE,CONSERVE_FOR_ANTI_ARMOR","strike20, he15, no_sell, no_drop,",,Separatists,,Nuclear Strike,,,,,Leaves %s behind in the impact zone.,Radioactive Decay,,,,5223
Matador Nuclear Carrier,sep_dirty_nuke,2,,5000,2000,,1000,,15,20,25,3,,,ENERGY,0,,0,10,1,,0,0,0,0,,150,0,12.5,900,,,"DO_NOT_AIM, STRIKE","strike20, missile15, sep_wep_rare_bp, damage_special,",,Separatists,,Nuclear Torpedo,Slow,Good,,,"The missile fires a nuclear cannon when close to the target, dealing %s damage and leaves %s behind in the impact zone.",6000 High Explosive|Radioactive Decay,,,TRUE,5224
    Matador Nuclear Emitter,sep_dirty_nuke_emitter,2,,0,800,1,,,0,200,0,1,,,ENERGY,,0,0.05,0,0.1,0,,,,,1000000,,,,200,,,"SYSTEM, DANGEROUS",fires_one_burst,,,,,,,,,,,,,,5225
Matador Nuclear Payload,sep_dirty_nuke_payload,2,,0,800,,6000,,75,20,0,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,700,,,200,,,"SYSTEM, DANGEROUS","show_in_codex,no_sell,no_dealer,no_drop_salvage",,Separatists,,Nuclear Torpedo,,,,,,,,,,5226
    Matador Nuclear Hull,sep_dirty_nuke_hull,0,,0,1,,1,,0,1,0,,,,ENERGY,0,,0,0,1,,0,0,0,0,,1,0,1,200,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,5227
